<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200114,120000,8515.0200000,8527.8400000,8493.8600000,8524.1200000,297
20200114,130000,8522.8100000,8610.3500000,8467.5000000,8491.3900000,1146
20200114,140000,8491.3900000,8589.0000000,8491.3900000,8588.6800000,618
20200114,150000,8588.3100000,8750.0000000,8561.6400000,8691.7300000,2095
20200114,160000,8691.7400000,8778.0100000,8636.1400000,8686.0100000,1593
20200114,170000,8686.0000000,8699.0800000,8515.7500000,8683.7800000,2477
20200114,180000,8683.8200000,8822.0000000,8683.8200000,8784.0300000,2261
20200114,190000,8785.5800000,8859.1700000,8678.7700000,8782.5500000,1585
20200114,200000,8780.1200000,8783.3100000,8699.3700000,8780.0000000,546
20200114,210000,8779.9900000,8779.9900000,8684.0000000,8691.7100000,820
20200114,220000,8692.7000000,8760.0200000,8671.0100000,8737.2200000,519
20200114,230000,8737.2100000,8785.9400000,8729.5900000,8744.1200000,398
20200115,000000,8743.9900000,8893.6900000,8727.8600000,8815.6900000,1359
20200115,010000,8812.5800000,8900.0000000,8708.8600000,8775.0100000,2068
20200115,020000,8774.2300000,8800.0000000,8714.0100000,8766.8600000,942
20200115,030000,8768.1500000,8821.0000000,8757.9900000,8805.1700000,436
20200115,040000,8805.1600000,8806.6800000,8720.0000000,8720.0100000,451
20200115,050000,8720.0000000,8727.5200000,8565.4600000,8583.6500000,1611
20200115,060000,8583.3000000,8649.9900000,8550.0000000,8604.3600000,406
20200115,070000,8602.8700000,8666.0900000,8592.6400000,8659.7100000,215
20200115,080000,8659.7200000,8665.7100000,8602.5400000,8607.9200000,213
20200115,090000,8605.3700000,8655.2200000,8592.0000000,8621.6100000,207
20200115,100000,8621.6000000,8755.3300000,8621.6000000,8733.2800000,406
20200115,110000,8733.2800000,8797.6300000,8703.5400000,8784.9400000,392
20200115,120000,8784.9300000,8792.1500000,8709.1500000,8714.0700000,272
20200115,130000,8717.0900000,8779.9000000,8706.3900000,8753.5300000,180
20200115,140000,8753.5400000,8899.0000000,8753.5300000,8884.6400000,772
20200115,150000,8880.0500000,8889.6700000,8734.2000000,8844.1200000,853
20200115,160000,8845.9800000,8850.8700000,8726.4600000,8745.0300000,1066
20200115,170000,8745.4100000,8804.0000000,8658.0000000,8766.8000000,845
20200115,180000,8766.8000000,8788.0000000,8718.0000000,8783.0800000,509
20200115,190000,8783.0800000,8783.1000000,8706.4200000,8737.0000000,426
20200115,200000,8737.0000000,8765.9700000,8730.4300000,8750.8800000,270
20200115,210000,8750.9100000,8827.2500000,8727.8800000,8808.8900000,870
20200115,220000,8808.8800000,8842.9200000,8780.6700000,8825.7800000,465
20200115,230000,8825.7800000,8852.2600000,8800.0000000,8848.7200000,676
20200116,000000,8848.7200000,8864.2900000,8786.0000000,8808.8100000,424
20200116,010000,8808.8100000,8850.0000000,8705.0000000,8748.9400000,770
20200116,020000,8749.8500000,8761.0300000,8605.0000000,8650.5700000,977
20200116,030000,8650.5600000,8685.1500000,8600.0000000,8645.0100000,504
20200116,040000,8645.0000000,8648.1700000,8580.0000000,8630.3500000,669
20200116,050000,8630.3500000,8667.9000000,8606.3800000,8640.1000000,340
20200116,060000,8640.1000000,8700.5200000,8639.6700000,8685.3500000,235
20200116,070000,8685.3300000,8704.0100000,8660.0000000,8700.3200000,184
20200116,080000,8700.3100000,8700.3200000,8642.1800000,8660.0200000,167
20200116,090000,8660.0100000,8694.8300000,8643.1800000,8656.0500000,172
20200116,100000,8657.6000000,8662.9200000,8593.3700000,8635.6700000,271
20200116,110000,8635.6800000,8649.0000000,8590.0000000,8646.2400000,243
